20,34,34,34,34,34,34,16,0,0,68,0,0,68,0,68,0,68,0,0
20,51,51,16,51,51,68,51,17,17,17,17,17,17,17,16,17,17,17,16
20,0,0,0,0,0,0,0,68,34,16,34,68,68,34,34,68,68,34,34
20,63,63,63,63,63,63,63,51,51,51,51,51,51,68,51,51,51,68,51
20,66,66,66,66,66,34,63,0,0,68,0,0,68,0,0,68,68,0,0
20,51,51,51,51,51,51,63,17,17,68,17,17,68,68,17,17,17,68,68
20,66,66,65,65,66,0,63,34,34,34,34,34,34,34,34,34,34,34,34
20,17,17,17,17,17,17,87,87,87,87,87,87,87,87,87,87,87,87,87
20,66,66,66,66,66,17,63,0,0,0,0,0,0,0,0,0,0,0,0
20,51,51,51,51,51,17,63,17,17,68,17,17,68,68,68,17,68,17,17
20,63,63,63,63,63,63,63,34,34,34,34,68,68,34,34,68,34,34,68
20,17,17,17,17,17,17,17,68,0,68,0,0,0,0,0,0,68,0,0
20,34,68,34,34,34,68,34,17,17,17,17,17,17,68,17,17,17,17,17
20,51,51,51,68,16,51,16,68,34,34,34,16,34,34,16,34,34,68,34
20,0,0,16,0,0,0,0,51,51,51,51,51,51,51,51,51,51,51,16
